Number of Ants,Iterations,Alpha,Beta,Q,Rho,Tau
100,1000,0.8,1,4700,0.15,3

Iteration,Best Overlap
1,2523
2,3444
3,3864
4,3987
5,4052
6,4176
7,4218
8,4237
9,4237
10,4237
11,4242
12,4252
13,4332
14,4391
15,4391
16,4391
17,4391
18,4391
19,4391
20,4511
21,4511
22,4511
23,4511
24,4511
25,4511
26,4511
27,4511
28,4511
29,4511
30,4511
31,4511
32,4511
33,4511
34,4511
35,4511
36,4511
37,4511
38,4511
39,4511
40,4601
41,4601
42,4601
43,4601
44,4601
45,4601
46,4601
47,4601
48,4601
49,4601
50,4601
51,4601
52,4601
53,4601
54,4601
55,4601
56,4601
57,4601
58,4601
59,4601
60,4601
61,4601
62,4601
63,4601
64,4601
65,4601
66,4601
67,4601
68,4601
69,4601
70,4601
71,4601
72,4601
73,4601
74,4601
75,4601
76,4601
77,4601
78,4601
79,4601
80,4601
81,4601
82,4601
83,4601
84,4601
85,4601
86,4601
87,4601
88,4601
89,4601
90,4601
91,4601
92,4601
93,4601
94,4601
95,4601
96,4601
97,4601
98,4601
99,4601
100,4601
101,4601
102,4601
103,4601
104,4601
105,4601
106,4601
107,4601
108,4601
109,4601
110,4601
111,4601
112,4601
113,4601
114,4601
115,4601
116,4601
117,4601
118,4601
119,4601
120,4601
121,4601
122,4601
123,4601
124,4601
125,4601
126,4601
127,4601
128,4601
129,4601
130,4601
131,4601
132,4601
133,4601
134,4601
135,4601
136,4601
137,4601
138,4601
139,4601
140,4601
141,4601
142,4601
143,4601
144,4601
145,4601
146,4601
147,4601
148,4601
149,4601
150,4601
151,4601
152,4601
153,4601
154,4601
155,4601
156,4601
157,4601
158,4601
159,4601
160,4601
161,4601
162,4601
163,4601
164,4601
165,4601
166,4601
167,4601
168,4601
169,4601
170,4601
171,4601
172,4601
173,4601
174,4601
175,4601
176,4601
177,4601
178,4601
179,4601
180,4601
181,4601
182,4601
183,4601
184,4601
185,4601
186,4601
187,4601
188,4601
189,4601
190,4601
191,4601
192,4601
193,4601
194,4601
195,4601
196,4601
197,4601
198,4601
199,4601
200,4601
201,4601
202,4601
203,4601
204,4601
205,4601
206,4601
207,4601
208,4601
209,4601
210,4601
211,4601
212,4601
213,4601
214,4601
215,4601
216,4601
217,4601
218,4601
219,4601
220,4601
221,4601
222,4601
223,4601
224,4601
225,4601
226,4601
227,4601
228,4601
229,4601
230,4601
231,4601
232,4601
233,4601
234,4601
235,4601
236,4601
237,4601
238,4601
239,4601
240,4601
241,4601
242,4601
243,4601
244,4601
245,4601
246,4601
247,4601
248,4601
249,4601
250,4601
251,4601
252,4601
253,4601
254,4601
255,4601
256,4601
257,4601
258,4601
259,4601
260,4601
261,4601
262,4601
263,4601
264,4601
265,4601
266,4601
267,4601
268,4601
269,4601
270,4601
271,4601
272,4601
273,4601
274,4601
275,4601
276,4601
277,4601
278,4601
279,4601
280,4601
281,4601
282,4601
283,4601
284,4601
285,4601
286,4601
287,4601
288,4601
289,4601
290,4601
291,4601
292,4601
293,4601
294,4601
295,4601
296,4601
297,4601
298,4601
299,4601
300,4601
301,4601
302,4601
303,4601
304,4601
305,4601
306,4601
307,4601
308,4601
309,4601
310,4601
311,4601
312,4601
313,4601
314,4601
315,4601
316,4601
317,4601
318,4601
319,4601
320,4601
